experiment_name,source_file,total_data_points,unique_metrics,max_step,min_step,experiment_type,pbt_enabled,population_size,elite_fraction,mutation_rate,learning_rate,gamma,entropy_coef,value_coef,num_channels,separate_value,num_worlds,num_updates,steps_per_update,fp16,timestamp
escape_room_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_020441,runs_final/escape_room_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_020441/events.out.tfevents.1748829881.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.292788.0,11523,23,5000,1,escape_room,False,,,,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_020441
escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_074436,runs_final/escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_074436/events.out.tfevents.1748850276.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.610792.0,8,8,0,0,escape_room,True,8.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_074436
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w512_u2500_s40_fp16_20250608_060930,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w512_u2500_s40_fp16_20250608_060930/events.out.tfevents.1749362970.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.477300.0,5804,32,2500,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,512,2500,40,True,20250608_060930
escape_room_pbt4_elite20_mut80_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250607_234608,runs_final/escape_room_pbt4_elite20_mut80_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250607_234608/events.out.tfevents.1749339968.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.156888.0,5814,32,2500,0,escape_room,True,4.0,0.2,0.8,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250607_234608
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250607_232907,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250607_232907/events.out.tfevents.1749338947.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.143375.0,5802,32,2500,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250607_232907
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_001958,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_001958/events.out.tfevents.1749341998.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.184060.0,5805,32,2500,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_001958
escape_room_pbt4_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u2500_s40_fp16_20250608_022209,runs_final/escape_room_pbt4_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u2500_s40_fp16_20250608_022209/events.out.tfevents.1749349329.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.282460.0,5805,32,2500,0,escape_room,True,4.0,0.2,0.4,0.0001,0.998,0.01,0.5,256,False,4096,2500,40,True,20250608_022209
escape_room_pbt2_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w2048_u5000_s40_fp16_20250602_185803,runs_final/escape_room_pbt2_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w2048_u5000_s40_fp16_20250602_185803/events.out.tfevents.1748890683.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.1180102.0,11555,28,5000,0,escape_room,True,2.0,0.2,0.4,0.0001,0.998,0.01,0.5,256,False,2048,5000,40,True,20250602_185803
escape_room_pbt32_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u2500_s40_fp16_20250607_223631,runs_final/escape_room_pbt32_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u2500_s40_fp16_20250607_223631/events.out.tfevents.1749335791.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.101751.0,5982,88,2500,0,escape_room,True,32.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,4096,2500,40,True,20250607_223631
escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_152531,runs_final/escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_152531/events.out.tfevents.1748877931.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.1007491.0,11623,40,5000,0,escape_room,True,8.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_152531
escape_room_pbt4_elite20_mut100_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_000306,runs_final/escape_room_pbt4_elite20_mut100_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_000306/events.out.tfevents.1749340986.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.170579.0,5817,32,2500,0,escape_room,True,4.0,0.2,1.0,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_000306
escape_room_pbt4_elite20_mut50_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_025351,runs_final/escape_room_pbt4_elite20_mut50_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_025351/events.out.tfevents.1749351231.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.314206.0,5812,32,2500,0,escape_room,True,4.0,0.2,0.5,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_025351
escape_room_pbt16_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w512_u2500_s40_fp16_20250608_020257,runs_final/escape_room_pbt16_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w512_u2500_s40_fp16_20250608_020257/events.out.tfevents.1749348177.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.266425.0,5906,56,2500,0,escape_room,True,16.0,0.2,0.4,0.0001,0.998,0.01,0.5,256,False,512,2500,40,True,20250608_020257
escape_room_pbt8_elite20_mut20_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_014407,runs_final/escape_room_pbt8_elite20_mut20_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_014407/events.out.tfevents.1749347047.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.251259.0,5835,40,2500,0,escape_room,True,8.0,0.2,0.2,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_014407
escape_room_pbt4_elite20_mut30_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w512_u2500_s40_fp16_20250608_011046,runs_final/escape_room_pbt4_elite20_mut30_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w512_u2500_s40_fp16_20250608_011046/events.out.tfevents.1749345046.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.224718.0,5809,32,2500,0,escape_room,True,4.0,0.2,0.3,0.0001,0.998,0.01,0.5,256,False,512,2500,40,True,20250608_011046
escape_room_pbt1_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250602_174706,runs_final/escape_room_pbt1_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250602_174706/events.out.tfevents.1748886426.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.1123912.0,11536,26,5000,0,escape_room,True,1.0,0.2,0.4,0.0001,0.998,0.01,0.5,256,False,1024,5000,40,True,20250602_174706
escape_room_pbt8_elite20_mut70_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_012520,runs_final/escape_room_pbt8_elite20_mut70_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_012520/events.out.tfevents.1749345920.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.236277.0,5854,40,2500,0,escape_room,True,8.0,0.2,0.7,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_012520
escape_room_pbt1_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w128_u2500_s40_fp16_20250608_054440,runs_final/escape_room_pbt1_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w128_u2500_s40_fp16_20250608_054440/events.out.tfevents.1749361480.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.454815.0,5781,26,2500,0,escape_room,True,1.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,128,2500,40,True,20250608_054440
escape_room_pbt2_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w256_u2500_s40_fp16_20250608_055629,runs_final/escape_room_pbt2_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w256_u2500_s40_fp16_20250608_055629/events.out.tfevents.1749362189.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.466583.0,5788,28,2500,0,escape_room,True,2.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,256,2500,40,True,20250608_055629
escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_074645,runs_final/escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_074645/events.out.tfevents.1748850405.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.613173.0,536,40,210,0,escape_room,True,8.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_074645
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u5000_s40_fp16_20250602_095324,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u5000_s40_fp16_20250602_095324/events.out.tfevents.1748858004.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.728362.0,3490,32,1500,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,4096,5000,40,True,20250602_095324
escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250607_213133,runs_final/escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250607_213133/events.out.tfevents.1749331893.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.49692.0,11624,40,5000,0,escape_room,True,8.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,1024,5000,40,True,20250607_213133
escape_room_pbt4_elite20_mut60_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_005347,runs_final/escape_room_pbt4_elite20_mut60_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_005347/events.out.tfevents.1749344027.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.211068.0,5812,32,2500,0,escape_room,True,4.0,0.2,0.6,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_005347
escape_room_pbt8_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_133459,runs_final/escape_room_pbt8_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_133459/events.out.tfevents.1748871299.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.919399.0,11646,40,5000,0,escape_room,True,8.0,0.2,0.4,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_133459
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_093220,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_093220/events.out.tfevents.1748856740.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.703573.0,2035,32,870,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_093220
escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_075546,runs_final/escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_075546/events.out.tfevents.1748850946.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.622629.0,9305,40,4000,0,escape_room,True,8.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_075546
escape_room_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_031045,runs_final/escape_room_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_031045/events.out.tfevents.1749352245.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.328297.0,5773,23,2500,1,escape_room,False,,,,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_031045
escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_101254,runs_final/escape_room_pbt8_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u5000_s40_fp16_20250602_101254/events.out.tfevents.1748859174.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.757906.0,11620,40,5000,0,escape_room,True,8.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,5000,40,True,20250602_101254
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u5000_s40_fp16_20250602_120347,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w4096_u5000_s40_fp16_20250602_120347/events.out.tfevents.1748865827.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.846787.0,11574,32,5000,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,4096,5000,40,True,20250602_120347
escape_room_pbt8_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250607_205510,runs_final/escape_room_pbt8_elite20_mut40_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250607_205510/events.out.tfevents.1749329710.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.15354.0,11640,40,5000,0,escape_room,True,8.0,0.2,0.4,0.0001,0.998,0.01,0.5,256,False,1024,5000,40,True,20250607_205510
escape_room_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250602_130541,runs_final/escape_room_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u5000_s40_fp16_20250602_130541/events.out.tfevents.1748869541.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.896007.0,11523,23,5000,1,escape_room,False,,,,0.0001,0.998,0.01,0.5,256,False,1024,5000,40,True,20250602_130541
escape_room_pbt16_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w2048_u2500_s40_fp16_20250607_220748,runs_final/escape_room_pbt16_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w2048_u2500_s40_fp16_20250607_220748/events.out.tfevents.1749334068.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.78840.0,5882,56,2500,0,escape_room,True,16.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,2048,2500,40,True,20250607_220748
escape_room_pbt64_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u2500_s40_fp16_20250608_034158,runs_final/escape_room_pbt64_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w8192_u2500_s40_fp16_20250608_034158/events.out.tfevents.1749354118.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.356624.0,6181,152,2500,0,escape_room,True,64.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,8192,2500,40,True,20250608_034158
escape_room_pbt2_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w2048_u5000_s40_fp16_20250602_181713,runs_final/escape_room_pbt2_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w2048_u5000_s40_fp16_20250602_181713/events.out.tfevents.1748888233.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.1148214.0,11548,28,5000,0,escape_room,True,2.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,2048,5000,40,True,20250602_181713
escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_003647,runs_final/escape_room_pbt4_elite20_mut10_lr1e-04_gamma0.998_ent0.01_val0.50_ch256_w1024_u2500_s40_fp16_20250608_003647/events.out.tfevents.1749343007.cs224r-madrona-1-inst-2xuaozdqhcsuehzsdguowt2qspk.197418.0,5801,32,2500,0,escape_room,True,4.0,0.2,0.1,0.0001,0.998,0.01,0.5,256,False,1024,2500,40,True,20250608_003647
